Date,Hour,Minute,Lux,Float time value,Label
02/04/2023,0,0,0.12,0,1
02/04/2023,0,10,0.11,0.17,1
02/04/2023,0,20,0.12,0.33,1
02/04/2023,0,30,0.1,0.5,1
02/04/2023,0,40,0.11,0.67,1
02/04/2023,0,50,0.1,0.83,1
02/04/2023,1,0,0.09,1,1
02/04/2023,1,10,0.1,1.17,1
02/04/2023,1,20,0.11,1.33,1
02/04/2023,1,30,0.11,1.5,1
02/04/2023,1,40,0.13,1.67,1
02/04/2023,1,50,0.12,1.83,1
02/04/2023,2,0,0.11,2,1
02/04/2023,2,10,0.11,2.17,1
02/04/2023,2,20,0.12,2.33,1
02/04/2023,2,30,0.14,2.5,1
02/04/2023,2,40,0.12,2.67,1
02/04/2023,2,50,0.12,2.83,1
02/04/2023,3,0,0.13,3,1
02/04/2023,3,10,0.13,3.17,1
02/04/2023,3,20,0.14,3.33,1
02/04/2023,3,30,0.12,3.5,1
02/04/2023,3,40,0.24,3.67,1
02/04/2023,3,50,0.25,3.83,1
02/04/2023,4,0,0.34,4,1
02/04/2023,4,10,0.63,4.17,1
02/04/2023,4,20,1.54,4.33,1
02/04/2023,4,30,6.7,4.5,1
02/04/2023,4,40,8.31,4.67,1
02/04/2023,4,50,8.31,4.83,1
02/04/2023,5,0,14.4,5,1
02/04/2023,5,10,27.5,5.17,1
02/04/2023,5,20,38.21,5.33,1
02/04/2023,5,30,79.2,5.5,1
02/04/2023,5,40,199.31,5.67,1
02/04/2023,5,50,209.43,5.83,1
02/04/2023,6,0,309.02,6,1
02/04/2023,6,10,308.21,6.17,1
02/04/2023,6,20,442.7,6.33,1
02/04/2023,6,30,575.8,6.5,1
02/04/2023,6,40,679.92,6.67,1
02/04/2023,6,50,725.98,6.83,1
02/04/2023,7,0,796.21,7,1
02/04/2023,7,10,752.25,7.17,1
02/04/2023,7,20,808.51,7.33,1
02/04/2023,7,30,891.4,7.5,1
02/04/2023,7,40,1132.12,7.67,1
02/04/2023,7,50,1242.13,7.83,1
02/04/2023,8,0,1987.19,8,1
02/04/2023,8,10,2299.06,8.17,1
02/04/2023,8,20,3351.71,8.33,1
02/04/2023,8,30,3591.09,8.5,1
02/04/2023,8,40,3739.13,8.67,1
02/04/2023,8,50,3945.98,8.83,1
02/04/2023,9,0,4233.32,9,1
02/04/2023,9,10,5473.28,9.17,1
02/04/2023,9,20,6662.45,9.33,1
02/04/2023,9,30,7902.61,9.5,1
02/04/2023,9,40,8196.54,9.67,1
02/04/2023,9,50,9011.87,9.83,1
02/04/2023,10,0,10013.97,10,1
02/04/2023,10,10,10923.76,10.17,1
02/04/2023,10,20,11990.09,10.33,1
02/04/2023,10,30,12904.38,10.5,1
02/04/2023,10,40,12805.45,10.67,1
02/04/2023,10,50,12723.05,10.83,1
02/04/2023,11,0,12770.67,11,1
02/04/2023,11,10,12751.09,11.17,1
02/04/2023,11,20,12648.54,11.33,1
02/04/2023,11,30,13649.87,11.5,1
02/04/2023,11,40,13507.65,11.67,1
02/04/2023,11,50,13769.98,11.83,1
02/04/2023,12,0,13758.87,12,1
02/04/2023,12,10,13795.98,12.17,1
02/04/2023,12,20,13846.98,12.33,1
02/04/2023,12,30,13975.34,12.5,1
