hour,light
0,2000
0,3020
0,600
0,4000
1,8000
1,3420
1,900
1,9000
2,4000
2,800
2,1000
2,900
3,700
3,1200
3,900
3,9000
3,1001
3,6199
4,700
4,2000
4,1800
4,4555
4,1177
4,1244
4,5890
4,3000
4,9000
4,5000
5,1000
5,1200
5,7000
5,8000
5,4778
6,6790
6,9999
6,8200
6,6000
7,9000
8,41000
9,33000
9,47000
9,50060
10,45000
10,47550
10,40060
10,31111
11,30000
11,50000
11,50000
11,47550
12,20
12,41111
12,0
13,10
13,49999
13,20
14,9
14,30000
14,20
15,0
15,10
15,40000
16,43000
16,100
17,0
17,30000
18,0
18,40000
19,30000
19,0
20,3000
21,8200
21,5300
22,4000
22,5000
22,1300
23,1200
23,8000
23,4000
23,2000
0,4000
0,3000
0,2000
3,5000
19,40000
1,40000
23,40000
1,30000
2,30000
3,40000
4,30000
1,20000
17,30000
18,30000
19,20000
2,10000
20,10000
21,12000
23,40900
21,32000
23,20900
23,20900
21,34000
23,36900
19,36900
23,46900
20,36900
23,23900
21,36900
20,36900
23,26900
23,22900
20,26900
20,22900
2,26900
3,22900
