hour,light
0,1
0,11
0,21
0,31
0,41
0,51
0,61
0,71
0,81
0,91
0,101
0,111
0,121
0,131
0,141
0,151
0,161
0,171
0,181
0,191
0,201
0,211
0,221
0,231
0,241
0,251
0,261
0,271
0,281
0,291
2,1
2,11
2,21
2,31
2,41
2,51
2,61
2,71
2,81
2,91
2,101
2,111
2,121
2,131
2,141
2,151
2,161
2,171
2,181
2,191
2,201
2,211
2,221
2,231
2,241
2,251
2,261
2,271
2,281
2,291
3,1
3,11
3,21
3,31
3,41
3,51
3,61
3,71
3,81
3,91
3,101
3,111
3,121
3,131
3,141
3,151
3,161
3,171
3,181
3,191
3,201
3,211
3,221
3,231
3,241
3,251
3,261
3,271
3,281
3,291
4,1
4,11
4,21
4,31
4,41
4,51
4,61
4,71
4,81
4,91
4,101
4,111
4,121
4,131
4,141
4,151
4,161
4,171
4,181
4,191
4,201
4,211
4,221
4,231
4,241
4,251
4,261
4,271
4,281
4,291
5,1
5,11
5,21
5,31
5,41
5,51
5,61
5,71
5,81
5,91
5,101
5,111
5,121
5,131
5,141
5,151
5,161
5,171
5,181
5,191
5,201
5,211
5,221
5,231
5,241
5,251
5,261
5,271
5,281
5,291
5,301
5,311
5,321
5,331
5,341
5,351
5,361
5,371
5,381
5,391
5,401
5,411
6,1
6,11
6,21
6,31
6,41
6,51
6,61
6,71
6,81
6,91
6,101
6,111
6,121
6,131
6,141
6,151
6,161
6,171
6,181
6,191
6,201
6,211
6,221
6,231
6,241
6,251
6,261
6,271
6,281
6,291
6,301
6,311
6,321
6,331
6,341
6,351
6,361
6,371
6,381
6,391
6,401
6,411
6,421
6,431
6,441
6,451
6,461
6,471
6,481
6,491
6,501
6,511
6,521
6,531
6,541
6,551
6,561
6,571
6,581
6,591
6,601
6,611
6,621
6,631
6,641
6,651
6,661
7,31
7,41
7,51
7,61
7,71
7,81
7,91
7,101
7,111
7,121
7,131
7,141
7,151
7,161
7,171
7,181
7,191
7,201
7,211
7,221
7,231
7,241
7,251
7,261
7,271
7,281
7,291
7,301
7,311
7,321
7,331
7,341
7,351
7,361
7,371
7,381
7,391
7,401
7,411
7,421
7,431
7,441
7,451
7,461
7,471
7,481
7,491
7,501
7,511
8,100
8,200
8,300
8,400
8,500
8,600
8,700
8,800
8,900
8,1000
8,1100
8,1200
8,1300
8,1400
8,1500
8,1600
8,1700
8,1800
8,1900
8,2000
8,2100
8,2200
8,2300
8,2400
8,2500
8,2600
8,2700
8,2800
8,2900
8,3000
8,3100
8,3200
8,3300
8,3400
8,3500
8,3600
8,3700
8,3800
8,3900
8,4000
8,4100
8,4200
8,4300
8,4400
8,4500
8,4600
8,4700
8,4800
8,4900
8,5000
8,5100
8,5200
8,5300
8,5400
8,5500
8,5600
8,5700
8,5800
8,5900
8,6000
8,6100
8,6200
8,6300
8,6400
8,6500
8,6600
8,6700
8,6800
8,6900
8,7000
8,7100
8,7200
8,7300
8,7400
8,7500
8,7600
8,7700
8,7800
8,7900
8,8000
8,8100
8,8200
8,8300
8,8400
8,8500
8,8600
8,8700
8,8800
8,8900
8,9000
8,9100
8,9200
8,9300
8,9400
8,9500
8,9600
8,9700
8,9800
8,9900
8,10000
8,10100
8,10200
8,10300
8,10400
8,10500
8,10600
8,10700
8,10800
8,10900
8,11000
8,11100
8,11200
8,11300
8,11400
8,11500
8,11600
8,11700
8,11800
8,11900
8,12000
8,12100
8,12200
8,12300
8,12400
8,12500
8,12600
8,12700
8,12800
8,12900
8,13000
8,13100
8,13200
8,13300
8,13400
8,13500
8,13600
8,13700
8,13800
8,13900
8,14000
8,14100
8,14200
8,14300
8,14400
8,14500
8,14600
8,14700
8,14800
8,14900
8,15000
8,15100
8,15200
8,15300
8,15400
8,15500
8,15600
8,15700
8,15800
8,15900
8,16000
8,16100
8,16200
8,16300
8,16400
8,16500
8,16600
8,16700
8,16800
8,16900
8,17000
8,17100
8,17200
8,17300
8,17400
8,17500
8,17600
8,17700
8,17800
8,17900
8,18000
8,18100
8,18200
8,18300
8,18400
8,18500
8,18600
8,18700
8,18800
8,18900
8,19000
8,19100
8,19200
8,19300
8,19400
8,19500
8,19600
8,19700
8,19800
8,19900
8,20000
9,100
9,400
9,600
9,800
9,1000
9,1200
9,1400
9,1600
9,1800
9,2000
9,2200
9,2400
9,2600
9,2800
9,3000
9,3200
9,3400
9,3600
9,3800
9,4000
9,4200
9,4400
9,4600
9,4800
9,5000
9,5200
9,5400
9,5600
9,5800
9,6000
9,6200
9,6400
9,6600
9,6800
9,7000
9,7200
9,7400
9,7600
9,7800
9,8000
9,8200
9,8400
9,8600
9,8800
9,9000
9,9200
9,9400
9,9600
9,9800
9,10000
9,10200
9,10400
9,10600
9,10800
9,11000
9,11200
9,11400
9,11600
9,11800
9,12000
9,12200
9,12400
9,12600
9,12800
9,13000
9,13200
9,13400
9,13600
9,13800
9,14000
9,14200
9,14400
9,14600
9,14800
9,15000
9,15200
9,15400
9,15600
9,15800
9,16000
9,16200
9,16400
9,16600
9,16800
9,17000
9,17200
9,17400
9,17600
9,17800
9,18000
9,18200
9,18400
9,18600
9,18800
9,19000
9,19200
9,19400
9,19600
9,19800
9,20000
9,20200
9,20400
9,20600
9,20800
10,100
10,400
10,600
10,800
10,1000
10,1200
10,1400
10,1600
10,1800
10,2000
10,2200
10,2400
10,2600
10,2800
10,3000
10,3200
10,3400
10,3600
10,3800
10,4000
10,4200
10,4400
10,4600
10,4800
10,5000
10,5200
10,5400
10,5600
10,5800
10,6000
10,6200
10,6400
10,6600
10,6800
10,7000
10,7200
10,7400
10,7600
10,7800
10,8000
10,8200
10,8400
10,8600
10,8800
10,9000
10,9200
10,9400
10,9600
10,9800
10,10000
10,10200
10,10400
10,10600
10,10800
10,11000
10,11200
10,11400
10,11600
10,11800
10,12000
10,12200
10,12400
10,12600
10,12800
10,13000
10,13200
10,13400
10,13600
10,13800
10,14000
10,14200
10,14400
10,14600
10,14800
10,15000
10,15200
10,15400
10,15600
10,15800
10,16000
10,16200
10,16400
10,16600
10,16800
10,17000
10,17200
10,17400
10,17600
10,17800
10,18000
10,18200
10,18400
10,18600
10,18800
10,19000
10,19200
10,19400
10,19600
10,19800
10,20000
10,20200
10,20400
10,20600
10,20800
10,21000
11,400
11,700
11,1000
11,1300
11,1600
11,1900
11,2200
11,2500
11,2800
11,3100
11,3400
11,3700
11,4000
11,4300
11,4600
11,4900
11,5200
11,5500
11,5800
11,6100
11,6400
11,6700
11,7000
11,7300
11,7600
11,7900
11,8200
11,8500
11,8800
11,9100
11,9400
11,9700
11,10000
11,10300
11,10600
11,10900
11,11200
11,11500
11,11800
11,12100
11,12400
11,12700
11,13000
11,13300
11,13600
11,13900
11,14200
11,14500
11,14800
11,15100
11,15400
11,15700
11,16000
11,16300
11,16600
11,16900
11,17200
11,17500
11,17800
11,18100
11,18400
11,18700
11,19000
11,19300
11,19600
11,19900
11,20200
11,20500
11,20800
11,21100
12,400
12,700
12,1000
12,1300
12,1600
12,1900
12,2200
12,2500
12,2800
12,3100
12,3400
12,3700
12,4000
12,4300
12,4600
12,4900
12,5200
12,5500
12,5800
12,6100
12,6400
12,6700
12,7000
12,7300
12,7600
12,7900
12,8200
12,8500
12,8800
12,9100
12,9400
12,9700
12,10000
12,10300
12,10600
12,10900
12,11200
12,11500
12,11800
12,12100
12,12400
12,12700
12,13000
12,13300
12,13600
12,13900
12,14200
12,14500
12,14800
12,15100
12,15400
12,15700
12,16000
12,16300
12,16600
12,16900
12,17200
12,17500
12,17800
12,18100
12,18400
12,18700
12,19000
12,19300
12,19600
12,19900
12,20200
13,400
13,700
13,1000
13,1300
13,1600
13,1900
13,2200
13,2500
13,2800
13,3100
13,3400
13,3700
13,4000
13,4300
13,4600
13,4900
13,5200
13,5500
13,5800
13,6100
13,6400
13,6700
13,7000
13,7300
13,7600
13,7900
13,8200
13,8500
13,8800
13,9100
13,9400
13,9700
13,10000
13,10300
13,10600
13,10900
13,11200
13,11500
13,11800
13,12100
13,12400
13,12700
13,13000
13,13300
13,13600
13,13900
13,14200
13,14500
13,14800
13,15100
13,15400
13,15700
13,16000
13,16300
13,16600
13,16900
13,17200
13,17500
13,17800
13,18100
13,18400
13,18700
13,19000
13,19300
13,19600
13,19900
13,20200
14,400
14,700
14,1000
14,1300
14,1600
14,1900
14,2200
14,2500
14,2800
14,3100
14,3400
14,3700
14,4000
14,4300
14,4600
14,4900
14,5200
14,5500
14,5800
14,6100
14,6400
14,6700
14,7000
14,7300
14,7600
14,7900
14,8200
14,8500
14,8800
14,9100
14,9400
14,9700
14,10000
14,10300
14,10600
14,10900
14,11200
14,11500
14,11800
14,12100
14,12400
14,12700
14,13000
14,13300
14,13600
14,13900
14,14200
14,14500
14,14800
14,15100
14,15400
14,15700
14,16000
14,16300
14,16600
14,16900
14,17200
14,17500
14,17800
14,18100
14,18400
14,18700
14,19000
14,19300
14,19600
14,19900
14,20200
15,400
15,700
15,1000
15,1300
15,1600
15,1900
15,2200
15,2500
15,2800
15,3100
15,3400
15,3700
15,4000
15,4300
15,4600
15,4900
15,5200
15,5500
15,5800
15,6100
15,6400
15,6700
15,7000
15,7300
15,7600
15,7900
15,8200
15,8500
15,8800
15,9100
15,9400
15,9700
15,10000
15,10300
15,10600
15,10900
15,11200
15,11500
15,11800
15,12100
15,12400
15,12700
15,13000
15,13300
15,13600
15,13900
15,14200
15,14500
15,14800
15,15100
15,15400
15,15700
15,16000
15,16300
15,16600
15,16900
15,17200
15,17500
15,17800
15,18100
15,18400
15,18700
15,19000
15,19300
15,19600
15,19900
15,20200
16,400
16,700
16,1000
16,1300
16,1600
16,1900
16,2200
16,2500
16,2800
16,3100
16,3400
16,3700
16,4000
16,4300
16,4600
16,4900
16,5200
16,5500
16,5800
16,6100
16,6400
16,6700
16,7000
16,7300
16,7600
16,7900
16,8200
16,8500
16,8800
16,9100
16,9400
16,9700
16,10000
16,10300
16,10600
16,10900
16,11200
16,11500
16,11800
16,12100
16,12400
16,12700
16,13000
16,13300
16,13600
16,13900
16,14200
16,14500
16,14800
16,15100
16,15400
16,15700
16,16000
16,16300
16,16600
16,16900
16,17200
16,17500
16,17800
16,18100
16,18400
16,18700
16,19000
16,19300
16,19600
16,19900
16,20200
17,400
17,700
17,1000
17,1300
17,1600
17,1900
17,2200
17,2500
17,2800
17,3100
17,3400
17,3700
17,4000
17,4300
17,4600
17,4900
17,5200
17,5500
17,5800
17,6100
17,6400
17,6700
17,7000
17,7300
17,7600
17,7900
17,8200
17,8500
17,8800
17,9100
17,9400
17,9700
17,10000
17,10300
17,10600
17,10900
17,11200
17,11500
17,11800
17,12100
17,12400
17,12700
17,13000
17,13300
17,13600
17,13900
17,14200
17,14500
17,14800
17,15100
17,15400
17,15700
17,16000
17,16300
17,16600
17,16900
17,17200
17,17500
17,17800
17,18100
17,18400
17,18700
17,19000
17,19300
17,19600
17,19900
17,20200
17,20500
17,20800
18,400
18,700
18,1000
18,1300
18,1600
18,1900
18,2200
18,2500
18,2800
18,3100
18,3400
18,3700
18,4000
18,4300
18,4600
18,4900
18,5200
18,5500
18,5800
18,6100
18,6400
18,6700
18,7000
18,7300
18,7600
18,7900
18,8200
18,8500
18,8800
18,9100
18,9400
18,9700
18,10000
19,400
19,600
19,800
19,1000
19,1200
19,1400
19,1600
19,1800
19,2000
19,2200
19,2400
19,2600
19,2800
19,3000
19,3200
19,3400
19,3600
19,3800
19,4000
19,4200
19,4400
19,4600
19,4800
19,5000
19,5200
19,5400
19,5600
19,5800
19,6000
19,6200
19,6400
19,6600
19,6800
19,7000
20,100
20,150
20,200
20,250
20,300
20,350
20,400
20,450
20,500
20,550
20,600
20,650
20,700
20,750
20,800
20,850
20,900
20,950
20,1000
20,1050
20,1100
21,50
21,100
21,150
21,200
21,250
21,300
21,350
21,400
21,450
21,500
21,550
21,600
21,650
21,700
21,750
21,800
21,850
21,900
22,0
22,50
22,100
22,150
22,200
22,250
22,300
22,350
22,400
22,450
22,500
22,550
22,600
22,650
22,700
22,750
22,800
22,850
23,0
23,30
23,60
23,90
23,120
23,150
23,180
23,210
23,240
23,270
23,300
23,330
