hour,light
0,1
0,600
0,1600
0,2600
0,3600
0,4600
0,5600
0,6600
0,7600
0,8600
0,9600
0,10600
0,11600
0,12600
0,13600
0,14600
0,15600
0,16600
0,17600
0,18800
1,1
1,600
1,1600
1,2600
1,3600
1,4600
1,5600
1,6600
1,7600
1,8600
1,9600
1,10600
1,11600
1,12600
1,13600
1,14600
1,15600
1,16600
1,17600
1,18800
2,1
2,600
2,1600
2,2600
2,3600
2,4600
2,5600
2,6600
2,7600
2,8600
2,9600
2,10600
2,11600
2,12600
2,13600
2,14600
2,15600
2,16600
2,17600
2,18800
3,1
3,600
3,1600
3,2600
3,3600
3,4600
3,5600
3,6600
3,7600
3,8600
3,9600
3,10600
3,11600
3,12600
3,13600
3,14600
3,15600
3,16600
3,17600
3,18800
4,1
4,600
4,1600
4,2600
4,3600
4,4600
4,5600
4,6600
4,7600
4,8600
4,9600
4,10600
4,11600
4,12600
4,13600
4,14600
4,15600
4,16600
4,17600
4,18800
5,2
5,600
5,1600
5,2600
5,3600
5,4600
5,5600
5,6600
5,7600
5,8600
5,9600
5,10600
5,11600
5,12600
5,13600
5,14600
5,15600
5,16600
5,17600
5,18800
6,3
6,500
6,1600
6,2600
6,3600
6,4600
6,5600
6,6600
6,7600
6,8600
6,9600
6,10600
6,11600
6,12600
6,13600
6,14600
6,15600
6,16600
6,17600
6,18800
7,4
7,600
7,1600
7,2600
7,3600
7,4600
7,5600
7,6600
7,7600
7,8600
7,9600
7,10600
7,11600
7,12600
7,13600
7,14600
7,15600
7,16600
7,17600
7,18800
8,1
8,600
8,1600
8,2600
8,3600
8,4600
8,5600
8,6600
8,7600
8,8600
8,9600
8,10600
8,11600
8,12600
8,13600
8,14600
8,15600
8,16600
8,17600
8,18800
8,20000
8,21400
8,22500
9,1
9,600
9,1600
9,2600
9,3600
9,4600
9,5600
9,6600
9,7600
9,8600
9,9600
9,10600
9,11600
9,12600
9,13600
9,14600
9,15600
9,16600
9,17600
9,18800
9,20000
9,21400
9,22500
10,2
10,600
10,1600
10,2600
10,3600
10,4600
10,5600
10,6600
10,7600
10,8600
10,9600
10,10600
10,11600
10,12600
10,13600
10,14600
10,15600
10,16600
10,17600
10,18800
10,20000
10,21400
10,22500
11,0
11,600
11,1600
11,2600
11,3600
11,4600
11,5600
11,6600
11,7600
11,8600
11,9600
11,10600
11,11600
11,12600
11,13600
11,14600
11,15600
11,16600
11,17600
11,18800
11,20000
11,21400
11,22500
12,0
12,600
12,1600
12,2600
12,3600
12,4600
12,5600
12,6600
12,7600
12,8600
12,9600
12,10600
12,11600
12,12600
12,13600
12,14600
12,15600
12,16600
12,17600
12,18800
12,20000
12,21400
12,22500
13,0
13,600
13,1600
13,2600
13,3600
13,4600
13,5600
13,6600
13,7600
13,8600
13,9600
13,10600
13,11600
13,12600
13,13600
13,14600
13,15600
13,16600
13,17600
13,18800
13,20000
13,21400
13,22500
14,0
14,600
14,1600
14,2600
14,3600
14,4600
14,5600
14,6600
14,7600
14,8600
14,9600
14,10600
14,11600
14,12600
14,13600
14,14600
14,15600
14,16600
14,17600
14,18800
14,20000
14,21400
14,22500
15,0
15,600
15,1600
15,2600
15,3600
15,4600
15,5600
15,6600
15,7600
15,8600
15,9600
15,10600
15,11600
15,12600
15,13600
15,14600
15,15600
15,16600
15,17600
15,18800
15,20000
15,21400
15,22500
16,0
16,600
16,1600
16,2600
16,3600
16,4600
16,5600
16,6600
16,7600
16,8600
16,9600
16,10600
16,11600
16,12600
16,13600
16,14600
16,15600
16,16600
16,17600
16,18800
16,20000
16,21400
16,22500
17,4
17,600
17,1600
17,2600
17,3600
17,4600
17,5600
17,6600
17,7600
17,8600
17,9600
17,10600
17,11600
17,12600
17,13600
17,14600
17,15600
17,16600
17,17600
17,18800
17,20000
17,21400
17,22500
18,3
18,600
18,1600
18,2600
18,3600
18,4600
18,5600
18,6600
18,7600
18,8600
18,9600
18,10600
18,11600
18,12600
18,13600
18,14600
18,15600
18,16600
18,17600
18,18800
18,20000
18,21400
18,22500
19,1
19,600
19,1600
19,2600
19,3600
19,4600
19,5600
19,6600
19,7600
19,8600
19,9600
19,10600
19,11600
19,12600
19,13600
19,14600
19,15600
19,16600
19,17600
19,18800
19,20000
19,21400
19,22500
20,1
20,600
20,1600
20,2600
20,3600
20,4600
20,5600
20,6600
20,7600
20,8600
20,9600
20,10600
20,11600
20,12600
20,13600
20,14600
20,15600
20,16600
20,17600
20,18800
20,20000
20,21400
20,22500
21,1
21,600
21,1600
21,2600
21,3600
21,4600
21,5600
21,6600
21,7600
21,8600
21,9600
21,10600
21,11600
21,12600
21,13600
21,14600
21,15600
21,16600
21,17600
21,18800
21,20000
21,21400
21,22500
22,4
22,600
22,1600
22,2600
22,3600
22,4600
22,5600
22,6600
22,7600
22,8600
22,9600
22,10600
22,11600
22,12600
22,13600
22,14600
22,15600
22,16600
22,17600
22,18800
22,20000
22,21400
22,22500
23,1
23,4
23,600
23,1600
23,2600
23,3600
23,4600
23,5600
23,6600
23,7600
23,8600
23,9600
23,10600
23,11600
23,12600
23,13600
23,14600
23,15600
23,16600
23,17600
23,18800
23,20000
23,21400
23,22500
