Date,Hour,Minute,Lux,Float time value,Label
02/04/2023,7,0,796.21,7,1
06/04/2023,7,10,1524.92,7.17,1
02/04/2023,7,20,808.51,7.33,1
07/04/2023,7,50,2379.34,7.83,1
05/04/2023,7,50,714.8,7.83,1
04/04/2023,8,0,2998.76,8,1
07/04/2023,8,0,2401.4,8,1
05/04/2023,8,0,1112.34,8,1
03/04/2023,8,10,960.29,8.17,1
05/04/2023,8,10,2129.65,8.17,1
08/04/2023,8,10,8003.24,8.17,1
02/04/2023,8,10,2299.06,8.17,1
04/04/2023,8,20,3924.98,8.33,1
07/04/2023,8,30,2670.76,8.5,1
04/04/2023,8,30,4478.09,8.5,1
02/04/2023,8,50,3945.98,8.83,1
03/04/2023,8,50,1462.98,8.83,1
08/04/2023,8,50,10174.21,8.83,1
07/04/2023,9,0,5501.3,9,1
06/04/2023,9,0,4449.78,9,1
02/04/2023,9,10,5473.28,9.17,1
07/04/2023,9,10,5835.21,9.17,1
08/04/2023,9,10,12484.87,9.17,1
02/04/2023,9,20,6662.45,9.33,1
06/04/2023,9,30,3600.76,9.5,1
03/04/2023,9,30,4645.28,9.5,1
08/04/2023,9,30,12049.21,9.5,1
02/04/2023,9,30,7902.61,9.5,1
05/04/2023,9,40,3148.67,9.67,1
02/04/2023,9,40,8196.54,9.67,1
07/04/2023,9,50,6392.36,9.83,1
03/04/2023,9,50,5869.49,9.83,1
06/04/2023,9,50,4098.09,9.83,1
02/04/2023,9,50,9011.87,9.83,1
04/04/2023,9,50,9974.38,9.83,1
07/04/2023,10,0,6393.93,10,1
04/04/2023,10,0,9609.32,10,1
08/04/2023,10,10,16428.8,10.17,1
06/04/2023,10,20,5129.54,10.33,1
03/04/2023,10,20,8529.47,10.33,1
02/04/2023,10,20,11990.09,10.33,1
05/04/2023,10,20,4787.76,10.33,1
08/04/2023,10,20,16529.01,10.33,1
05/04/2023,10,30,4732.1,10.5,1
04/04/2023,10,40,10667.76,10.67,1
07/04/2023,10,40,7987.37,10.67,1
03/04/2023,10,40,10549.21,10.67,1
06/04/2023,10,50,6452.16,10.83,1
03/04/2023,10,50,10928.38,10.83,1
07/04/2023,10,50,8238.93,10.83,1
02/04/2023,10,50,12723.05,10.83,1
04/04/2023,10,50,10534.24,10.83,1
08/04/2023,11,0,17829.98,11,1
04/04/2023,11,0,10954.01,11,1
08/04/2023,11,10,17931.17,11.17,1
07/04/2023,11,10,9678.46,11.17,1
06/04/2023,11,20,7628.64,11.33,1
04/04/2023,11,20,12257.56,11.33,1
05/04/2023,11,20,5967.01,11.33,1
03/04/2023,11,30,12504.34,11.5,1
06/04/2023,11,40,7612.25,11.67,1
07/04/2023,11,40,10590.83,11.67,1
05/04/2023,11,40,6091.33,11.67,1
04/04/2023,11,40,13284.66,11.67,1
08/04/2023,11,40,17149.23,11.67,1
05/04/2023,12,0,6254.25,12,1
06/04/2023,12,0,8402.35,12,1
08/04/2023,12,10,16327.12,12.17,1
07/04/2023,12,10,11199.99,12.17,1
04/04/2023,12,20,15023.81,12.33,1
03/04/2023,12,20,12299.46,12.33,1
02/04/2023,12,20,13846.98,12.33,1
