Date,Hour,Minute,Lux,Float time value,Label
02/04/2023,12,50,12298.96,12.83,1
02/04/2023,12,40,12497.03,12.67,1
02/04/2023,12,30,13975.34,12.5,1
02/04/2023,12,20,13846.98,12.33,1
02/04/2023,12,10,13795.98,12.17,1
02/04/2023,12,0,13758.87,12,1
02/04/2023,10,20,11990.09,10.33,1
02/04/2023,10,10,10923.76,10.17,1
02/04/2023,10,0,10013.97,10,1
02/04/2023,7,30,891.4,7.5,1
02/04/2023,7,20,808.51,7.33,1
02/04/2023,7,10,752.25,7.17,1
02/04/2023,7,0,796.21,7,1
02/04/2023,6,50,725.98,6.83,1
02/04/2023,6,0,309.02,6,1
03/04/2023,12,50,9708.47,12.83,1
03/04/2023,12,40,10174.27,12.67,1
03/04/2023,11,10,11123.99,11.17,1
03/04/2023,11,0,11931,11,1
03/04/2023,10,50,10928.38,10.83,1
03/04/2023,10,10,7645.03,10.17,1
03/04/2023,10,0,6982.1,10,1
03/04/2023,9,50,5869.49,9.83,1
03/04/2023,8,40,1009.09,8.67,1
03/04/2023,8,30,990.9,8.5,1
03/04/2023,6,20,340.98,6.33,1
03/04/2023,6,10,428.39,6.17,1
03/04/2023,6,0,312.56,6,1
04/04/2023,12,50,15606.23,12.83,1
04/04/2023,12,40,15486.47,12.67,1
04/04/2023,12,30,15736.21,12.5,1
04/04/2023,12,20,15023.81,12.33,1
04/04/2023,12,10,14531.24,12.17,1
04/04/2023,12,0,14928.96,12,1
04/04/2023,11,50,13887.45,11.83,1
04/04/2023,10,50,10534.24,10.83,1
04/04/2023,10,40,10667.76,10.67,1
04/04/2023,10,30,10331.39,10.5,1
04/04/2023,10,20,10061.4,10.33,1
04/04/2023,10,10,9930.05,10.17,1
04/04/2023,10,0,9609.32,10,1
04/04/2023,9,50,9974.38,9.83,1
04/04/2023,9,40,8828.23,9.67,1
04/04/2023,9,30,8989.98,9.5,1
04/04/2023,9,20,7652.87,9.33,1
04/04/2023,9,10,6947.23,9.17,1
04/04/2023,9,0,6534.24,9,1
04/04/2023,8,20,3924.98,8.33,1
04/04/2023,8,10,3167.98,8.17,1
04/04/2023,8,0,2998.76,8,1
04/04/2023,7,50,2228.26,7.83,1
04/04/2023,7,40,1060.76,7.67,1
04/04/2023,7,30,949.76,7.5,1
04/04/2023,7,20,824.74,7.33,1
04/04/2023,7,10,720.26,7.17,1
04/04/2023,7,0,610.87,7,1
04/04/2023,6,20,477.97,6.33,1
04/04/2023,6,10,313.76,6.17,1
04/04/2023,6,0,235.67,6,1
05/04/2023,12,50,7179.98,12.83,1
05/04/2023,12,40,6870.23,12.67,1
05/04/2023,12,30,6622.56,12.5,1
05/04/2023,12,20,6672.45,12.33,1
05/04/2023,11,20,5967.01,11.33,1
05/04/2023,11,10,5232.87,11.17,1
05/04/2023,11,0,5101.76,11,1
05/04/2023,10,50,5299.62,10.83,1
05/04/2023,10,40,5070.63,10.67,1
05/04/2023,10,30,4732.1,10.5,1
05/04/2023,10,20,4787.76,10.33,1
05/04/2023,10,10,4678.56,10.17,1
05/04/2023,10,0,3599.01,10,1
05/04/2023,9,50,3512.21,9.83,1
05/04/2023,9,40,3148.67,9.67,1
05/04/2023,9,30,3176.98,9.5,1
05/04/2023,9,20,3297.95,9.33,1
05/04/2023,9,10,3156.98,9.17,1
05/04/2023,9,0,3232.23,9,1
05/04/2023,8,50,3399.7,8.83,1
05/04/2023,8,40,3493.41,8.67,1
05/04/2023,8,30,2664.9,8.5,1
05/04/2023,8,20,2554.98,8.33,1
