Date,Hour,Minute,Lux,Float time value,Label
02/04/2023,23,50,0.07,23.83,1
03/04/2023,23,50,0.8,23.83,1
04/04/2023,23,50,0.06,23.83,1
05/04/2023,23,50,0.09,23.83,1
06/04/2023,23,50,0.2,23.83,1
07/04/2023,23,50,0.06,23.83,1
08/04/2023,23,50,0.56,23.83,1
02/04/2023,23,40,0.08,23.67,1
03/04/2023,23,40,0.6,23.67,1
04/04/2023,23,40,0.06,23.67,1
05/04/2023,23,40,0.09,23.67,1
06/04/2023,23,40,0.21,23.67,1
07/04/2023,23,40,0.07,23.67,1
08/04/2023,23,40,0.99,23.67,1
02/04/2023,23,30,0.09,23.5,1
03/04/2023,23,30,0.5,23.5,1
04/04/2023,23,30,0.06,23.5,1
05/04/2023,23,30,0.08,23.5,1
06/04/2023,23,30,0.46,23.5,1
07/04/2023,23,30,0.05,23.5,1
08/04/2023,23,30,0.1,23.5,1
02/04/2023,23,20,0.11,23.33,1
03/04/2023,23,20,0.6,23.33,1
04/04/2023,23,20,0.07,23.33,1
05/04/2023,23,20,0.09,23.33,1
06/04/2023,23,20,0.56,23.33,1
07/04/2023,23,20,0.05,23.33,1
08/04/2023,23,20,0.1,23.33,1
02/04/2023,23,10,0.11,23.17,1
03/04/2023,23,10,0.6,23.17,1
04/04/2023,23,10,0.08,23.17,1
05/04/2023,23,10,0.9,23.17,1
06/04/2023,23,10,0.56,23.17,1
07/04/2023,23,10,0.07,23.17,1
08/04/2023,23,10,0.99,23.17,1
02/04/2023,23,0,0.1,23,1
03/04/2023,23,0,0.6,23,1
04/04/2023,23,0,0.08,23,1
05/04/2023,23,0,0.07,23,1
06/04/2023,23,0,0.58,23,1
07/04/2023,23,0,0.05,23,1
08/04/2023,23,0,0.97,23,1
02/04/2023,22,50,0.1,22.83,1
03/04/2023,22,50,0.6,22.83,1
04/04/2023,22,50,0.09,22.83,1
05/04/2023,22,50,0.1,22.83,1
06/04/2023,22,50,0.56,22.83,1
07/04/2023,22,50,0.07,22.83,1
08/04/2023,22,50,0.97,22.83,1
02/04/2023,22,40,0.11,22.67,1
03/04/2023,22,40,0.6,22.67,1
04/04/2023,22,40,0.08,22.67,1
05/04/2023,22,40,0.01,22.67,1
06/04/2023,22,40,0.52,22.67,1
07/04/2023,22,40,0.07,22.67,1
08/04/2023,22,40,0.98,22.67,1
02/04/2023,22,30,0.11,22.5,1
03/04/2023,22,30,0.6,22.5,1
04/04/2023,22,30,0.09,22.5,1
05/04/2023,22,30,1.09,22.5,1
06/04/2023,22,30,0.5,22.5,1
07/04/2023,22,30,0.07,22.5,1
08/04/2023,22,30,0.97,22.5,1
02/04/2023,22,20,0.11,22.33,1
03/04/2023,22,20,0.6,22.33,1
04/04/2023,22,20,0.1,22.33,1
05/04/2023,22,20,1.19,22.33,1
06/04/2023,22,20,0.7,22.33,1
07/04/2023,22,20,0.1,22.33,1
08/04/2023,22,20,0.99,22.33,1
02/04/2023,22,10,0.11,22.17,1
03/04/2023,22,10,0.6,22.17,1
04/04/2023,22,10,0.09,22.17,1
05/04/2023,22,10,9.92,22.17,1
06/04/2023,22,10,0.9,22.17,1
07/04/2023,22,10,0.12,22.17,1
08/04/2023,22,10,0.98,22.17,1
02/04/2023,22,0,0.11,22,1
03/04/2023,22,0,0.6,22,1
04/04/2023,22,0,0.12,22,1
05/04/2023,22,0,22.89,22,1
06/04/2023,22,0,0.13,22,1
08/04/2023,22,0,0.1,22,1
02/04/2023,21,50,0.1,21.83,1
03/04/2023,21,50,0.62,21.83,1
04/04/2023,21,50,0.2,21.83,1
05/04/2023,21,50,111.16,21.83,1
06/04/2023,21,50,0.72,21.83,1
07/04/2023,21,50,0.37,21.83,1
08/04/2023,21,50,1.22,21.83,1
02/04/2023,21,40,1.11,21.67,1
03/04/2023,21,40,0.5,21.67,1
04/04/2023,21,40,1.33,21.67,1
05/04/2023,21,40,221.23,21.67,1
06/04/2023,21,40,1.35,21.67,1
07/04/2023,21,40,1.3,21.67,1
08/04/2023,21,40,2.47,21.67,1
02/04/2023,21,30,2.21,21.5,1
03/04/2023,21,30,0.78,21.5,1
04/04/2023,21,30,2.42,21.5,1
05/04/2023,21,30,432.36,21.5,1
06/04/2023,21,30,1.87,21.5,1
07/04/2023,21,30,12.38,21.5,1
08/04/2023,21,30,11.21,21.5,1
02/04/2023,21,20,20.34,21.33,1
03/04/2023,21,20,1.98,21.33,1
04/04/2023,21,20,4.43,21.33,1
05/04/2023,21,20,544.56,21.33,1
06/04/2023,21,20,11.56,21.33,1
07/04/2023,21,20,53.32,21.33,1
08/04/2023,21,20,22.8,21.33,1
02/04/2023,21,10,30.45,21.17,1
03/04/2023,21,10,2.78,21.17,1
04/04/2023,21,10,10.65,21.17,1
05/04/2023,21,10,559.45,21.17,1
06/04/2023,21,10,12.87,21.17,1
07/04/2023,21,10,110.03,21.17,1
08/04/2023,21,10,43.51,21.17,1
02/04/2023,21,0,131.34,21,1
03/04/2023,21,0,11.02,21,1
04/04/2023,21,0,31.09,21,1
05/04/2023,21,0,589.54,21,1
06/04/2023,21,0,25.25,21,1
07/04/2023,21,0,219.43,21,1
08/04/2023,21,0,54.8,21,1
02/04/2023,5,50,209.43,5.83,1
03/04/2023,5,50,220.93,5.83,1
04/04/2023,5,50,100.3,5.83,1
05/04/2023,5,50,33.93,5.83,1
06/04/2023,5,50,194.56,5.83,1
07/04/2023,5,50,174.3,5.83,1
08/04/2023,5,50,124.56,5.83,1
02/04/2023,5,40,199.31,5.67,1
03/04/2023,5,40,110.51,5.67,1
04/04/2023,5,40,56.3,5.67,1
05/04/2023,5,40,31.99,5.67,1
06/04/2023,5,40,101.14,5.67,1
07/04/2023,5,40,50.44,5.67,1
08/04/2023,5,40,88.84,5.67,1
02/04/2023,5,30,79.2,5.5,1
03/04/2023,5,30,120.34,5.5,1
04/04/2023,5,30,24.2,5.5,1
05/04/2023,5,30,20.45,5.5,1
06/04/2023,5,30,93.22,5.5,1
07/04/2023,5,30,26.3,5.5,1
08/04/2023,5,30,64.23,5.5,1
02/04/2023,5,20,38.21,5.33,1
03/04/2023,5,20,60.1,5.33,1
04/04/2023,5,20,3.22,5.33,1
05/04/2023,5,20,28.09,5.33,1
06/04/2023,5,20,40.11,5.33,1
07/04/2023,5,20,10.45,5.33,1
08/04/2023,5,20,20.34,5.33,1
02/04/2023,5,10,27.5,5.17,1
03/04/2023,5,10,56.09,5.17,1
04/04/2023,5,10,2.96,5.17,1
05/04/2023,5,10,14.6,5.17,1
06/04/2023,5,10,10.23,5.17,1
07/04/2023,5,10,5.59,5.17,1
08/04/2023,5,10,9.81,5.17,1
02/04/2023,5,0,14.4,5,1
03/04/2023,5,0,12.9,5,1
04/04/2023,5,0,2.55,5,1
05/04/2023,5,0,4.5,5,1
06/04/2023,5,0,2.9,5,1
07/04/2023,5,0,1.53,5,1
08/04/2023,5,0,5.65,5,1
02/04/2023,4,50,8.31,4.83,1
03/04/2023,4,50,1.56,4.83,1
04/04/2023,4,50,1.33,4.83,1
05/04/2023,4,50,2.3,4.83,1
06/04/2023,4,50,1.44,4.83,1
07/04/2023,4,50,0.45,4.83,1
08/04/2023,4,50,2.4,4.83,1
02/04/2023,4,40,8.31,4.67,1
03/04/2023,4,40,0.72,4.67,1
04/04/2023,4,40,0.21,4.67,1
05/04/2023,4,40,1,4.67,1
06/04/2023,4,40,0.59,4.67,1
07/04/2023,4,40,0.32,4.67,1
08/04/2023,4,40,1.83,4.67,1
02/04/2023,4,30,6.7,4.5,1
03/04/2023,4,30,0.46,4.5,1
04/04/2023,4,30,0.18,4.5,1
05/04/2023,4,30,0.9,4.5,1
06/04/2023,4,30,0.58,4.5,1
07/04/2023,4,30,0.15,4.5,1
08/04/2023,4,30,1.61,4.5,1
02/04/2023,4,20,1.54,4.33,1
03/04/2023,4,20,0.25,4.33,1
04/04/2023,4,20,0.19,4.33,1
05/04/2023,4,20,0.68,4.33,1
06/04/2023,4,20,0.48,4.33,1
07/04/2023,4,20,0.11,4.33,1
08/04/2023,4,20,1.4,4.33,1
02/04/2023,4,10,0.63,4.17,1
03/04/2023,4,10,0.12,4.17,1
04/04/2023,4,10,0.17,4.17,1
05/04/2023,4,10,0.36,4.17,1
06/04/2023,4,10,0.34,4.17,1
07/04/2023,4,10,0.1,4.17,1
08/04/2023,4,10,1,4.17,1
02/04/2023,4,0,0.34,4,1
03/04/2023,4,0,0.04,4,1
04/04/2023,4,0,0.15,4,1
05/04/2023,4,0,0.26,4,1
06/04/2023,4,0,0.18,4,1
07/04/2023,4,0,0.1,4,1
08/04/2023,4,0,0.83,4,1
02/04/2023,3,50,0.25,3.83,1
03/04/2023,3,50,0.04,3.83,1
04/04/2023,3,50,0.16,3.83,1
05/04/2023,3,50,0.13,3.83,1
06/04/2023,3,50,0.23,3.83,1
07/04/2023,3,50,0.09,3.83,1
08/04/2023,3,50,0.64,3.83,1
02/04/2023,3,40,0.24,3.67,1
03/04/2023,3,40,0.04,3.67,1
04/04/2023,3,40,0.13,3.67,1
05/04/2023,3,40,0.05,3.67,1
06/04/2023,3,40,0.22,3.67,1
07/04/2023,3,40,0.19,3.67,1
08/04/2023,3,40,0.34,3.67,1
02/04/2023,3,30,0.12,3.5,1
03/04/2023,3,30,0.04,3.5,1
04/04/2023,3,30,0.12,3.5,1
05/04/2023,3,30,0.05,3.5,1
06/04/2023,3,30,0.22,3.5,1
07/04/2023,3,30,0.1,3.5,1
08/04/2023,3,30,0.23,3.5,1
02/04/2023,3,20,0.14,3.33,1
03/04/2023,3,20,0.05,3.33,1
04/04/2023,3,20,0.11,3.33,1
05/04/2023,3,20,0.05,3.33,1
06/04/2023,3,20,0.21,3.33,1
07/04/2023,3,20,0.09,3.33,1
08/04/2023,3,20,0.24,3.33,1
02/04/2023,3,10,0.13,3.17,1
03/04/2023,3,10,0.05,3.17,1
04/04/2023,3,10,0.09,3.17,1
05/04/2023,3,10,0.03,3.17,1
06/04/2023,3,10,0.2,3.17,1
07/04/2023,3,10,0.09,3.17,1
08/04/2023,3,10,0.23,3.17,1
02/04/2023,3,0,0.13,3,1
03/04/2023,3,0,0.05,3,1
04/04/2023,3,0,0.11,3,1
05/04/2023,3,0,0.04,3,1
06/04/2023,3,0,0.16,3,1
07/04/2023,3,0,0.09,3,1
08/04/2023,3,0,0.14,3,1
02/04/2023,2,50,0.12,2.83,1
03/04/2023,2,50,0.05,2.83,1
04/04/2023,2,50,0.11,2.83,1
05/04/2023,2,50,0.04,2.83,1
06/04/2023,2,50,0.1,2.83,1
07/04/2023,2,50,0.1,2.83,1
08/04/2023,2,50,0.11,2.83,1
02/04/2023,2,40,0.12,2.67,1
03/04/2023,2,40,0.04,2.67,1
04/04/2023,2,40,0.1,2.67,1
05/04/2023,2,40,0.03,2.67,1
06/04/2023,2,40,0.1,2.67,1
07/04/2023,2,40,0.08,2.67,1
08/04/2023,2,40,0.12,2.67,1
02/04/2023,2,30,0.14,2.5,1
03/04/2023,2,30,0.04,2.5,1
04/04/2023,2,30,0.09,2.5,1
05/04/2023,2,30,0.03,2.5,1
06/04/2023,2,30,0.09,2.5,1
07/04/2023,2,30,0.08,2.5,1
08/04/2023,2,30,0.11,2.5,1
02/04/2023,2,20,0.12,2.33,1
03/04/2023,2,20,0.04,2.33,1
04/04/2023,2,20,0.1,2.33,1
05/04/2023,2,20,0.04,2.33,1
06/04/2023,2,20,0.07,2.33,1
07/04/2023,2,20,0.08,2.33,1
08/04/2023,2,20,0.1,2.33,1
02/04/2023,2,10,0.11,2.17,1
03/04/2023,2,10,0.04,2.17,1
04/04/2023,2,10,0.09,2.17,1
05/04/2023,2,10,0.04,2.17,1
06/04/2023,2,10,0.06,2.17,1
07/04/2023,2,10,0.08,2.17,1
08/04/2023,2,10,0.09,2.17,1
02/04/2023,2,0,0.11,2,1
03/04/2023,2,0,0.04,2,1
04/04/2023,2,0,0.08,2,1
05/04/2023,2,0,0.03,2,1
06/04/2023,2,0,0.06,2,1
07/04/2023,2,0,0.1,2,1
08/04/2023,2,0,0.09,2,1
02/04/2023,1,50,0.12,1.83,1
03/04/2023,1,50,0.04,1.83,1
04/04/2023,1,50,0.08,1.83,1
05/04/2023,1,50,0.03,1.83,1
06/04/2023,1,50,0.06,1.83,1
07/04/2023,1,50,0.09,1.83,1
08/04/2023,1,50,0.1,1.83,1
02/04/2023,1,40,0.13,1.67,1
03/04/2023,1,40,0.04,1.67,1
04/04/2023,1,40,0.09,1.67,1
05/04/2023,1,40,0.02,1.67,1
06/04/2023,1,40,0.06,1.67,1
07/04/2023,1,40,0.9,1.67,1
08/04/2023,1,40,0.1,1.67,1
02/04/2023,1,30,0.11,1.5,1
03/04/2023,1,30,0.03,1.5,1
