Date,Hour,Minute,Lux,Float time value,Label
02/04/2023,6,0,309.02,6,1
03/04/2023,6,0,312.56,6,1
04/04/2023,6,0,235.67,6,1
05/04/2023,6,0,47.6,6,1
06/04/2023,6,0,254.2,6,1
07/04/2023,6,0,235.33,6,1
08/04/2023,6,0,230.89,6,1
12/04/2023,6,0,0.01,6,0
13/04/2023,6,0,2.11,6,0
14/04/2023,6,0,0.98,6,0
15/04/2023,6,0,1.83,6,0
16/04/2023,6,0,4.31,6,0
17/04/2023,6,0,22.1,6,0
02/04/2023,6,10,308.21,6.17,1
03/04/2023,6,10,428.39,6.17,1
04/04/2023,6,10,313.76,6.17,1
05/04/2023,6,10,68.67,6.17,1
06/04/2023,6,10,290.24,6.17,1
07/04/2023,6,10,338,6.17,1
08/04/2023,6,10,241.98,6.17,1
12/04/2023,6,10,10.22,6.17,0
13/04/2023,6,10,0.33,6.17,0
14/04/2023,6,10,0.31,6.17,0
15/04/2023,6,10,0.99,6.17,0
16/04/2023,6,10,19.2,6.17,0
17/04/2023,6,10,18.76,6.17,0
02/04/2023,6,20,442.7,6.33,1
03/04/2023,6,20,340.98,6.33,1
04/04/2023,6,20,477.97,6.33,1
05/04/2023,6,20,72.23,6.33,1
06/04/2023,6,20,310.38,6.33,1
07/04/2023,6,20,435.4,6.33,1
08/04/2023,6,20,253.89,6.33,1
11/04/2023,6,20,0.44,6.33,0
12/04/2023,6,20,23.43,6.33,0
13/04/2023,6,20,25.32,6.33,0
14/04/2023,6,20,4.23,6.33,0
15/04/2023,6,20,3.02,6.33,0
16/04/2023,6,20,2,6.33,0
02/04/2023,6,30,575.8,6.5,1
03/04/2023,6,30,499.3,6.5,1
04/04/2023,6,30,593.76,6.5,1
05/04/2023,6,30,75.93,6.5,1
06/04/2023,6,30,492.44,6.5,1
07/04/2023,6,30,422.1,6.5,1
08/04/2023,6,30,264.82,6.5,1
02/04/2023,6,40,679.92,6.67,1
03/04/2023,6,40,505.38,6.67,1
04/04/2023,6,40,644.87,6.67,1
05/04/2023,6,40,127.91,6.67,1
06/04/2023,6,40,544.5,6.67,1
07/04/2023,6,40,542.45,6.67,1
08/04/2023,6,40,317.78,6.67,1
15/04/2023,6,40,20.11,6.67,1
16/04/2023,6,40,30.21,6.67,1
17/04/2023,6,40,0.02,6.67,1
18/04/2023,6,40,2.49,6.67,1
02/04/2023,6,50,725.98,6.83,1
