hour,light
0,1
0,11
0,21
0,31
0,41
0,51
0,61
0,71
0,81
0,91
0,101
0,111
0,121
0,131
0,141
0,151
0,161
0,171
0,181
0,191
0,201
0,211
0,221
0,231
0,241
0,251
0,261
0,271
0,281
0,291
1,1
1,11
1,21
1,31
1,41
1,51
1,61
1,71
1,81
1,91
1,101
1,111
1,121
1,131
1,141
1,151
1,161
1,171
1,181
1,191
1,201
1,211
1,221
1,231
1,241
1,251
1,261
1,271
1,281
1,291
2,1
2,11
2,21
2,31
2,41
2,51
2,61
2,71
2,81
2,91
2,101
2,111
2,121
2,131
2,141
2,151
2,161
2,171
2,181
2,191
2,201
2,211
2,221
2,231
2,241
2,251
2,261
2,271
2,281
2,291
3,1
3,11
3,21
3,31
3,41
3,51
3,61
3,71
3,81
3,91
3,101
3,111
3,121
3,131
3,141
3,151
3,161
3,171
3,181
3,191
3,201
3,211
3,221
3,231
3,241
3,251
3,261
3,271
3,281
3,291
4,1
4,11
4,21
4,31
4,41
4,51
4,61
4,71
4,81
4,91
4,101
4,111
4,121
4,131
4,141
4,151
4,161
4,171
4,181
4,191
4,201
4,211
4,221
4,231
4,241
4,251
4,261
4,271
4,281
4,291
5,1
5,11
5,21
5,31
5,41
5,51
5,61
5,71
5,81
5,91
5,101
5,111
5,121
5,131
5,141
5,151
5,161
5,171
5,181
5,191
5,201
5,211
5,221
5,231
5,241
5,251
5,261
5,271
5,281
5,291
5,301
5,311
5,321
5,331
5,341
5,351
5,361
5,371
5,381
5,391
5,401
5,411
6,1
6,11
6,21
6,31
6,41
6,51
6,61
6,71
6,81
6,91
6,101
6,111
6,121
6,131
6,141
6,151
6,161
6,171
6,181
6,191
6,201
6,211
6,221
6,231
6,241
6,251
6,261
6,271
6,281
6,291
6,301
6,311
6,321
6,331
6,341
6,351
6,361
6,371
6,381
6,391
6,401
6,411
6,421
6,431
6,441
6,451
6,461
6,471
6,481
6,491
6,501
6,511
6,521
6,531
6,541
6,551
6,561
6,571
6,581
6,591
6,601
6,611
6,621
6,631
6,641
6,651
6,661
7,31
7,41
7,51
7,61
7,71
7,81
7,91
7,101
7,111
7,121
7,131
7,141
7,151
7,161
7,171
7,181
7,191
7,201
7,211
7,221
7,231
7,241
7,251
7,261
7,271
7,281
7,291
7,301
7,311
7,321
7,331
7,341
7,351
7,361
7,371
7,381
7,391
7,401
7,411
7,421
7,431
7,441
7,451
7,461
7,471
7,481
7,491
7,501
7,511
7,611
7,711
7,811
7,911
7,1011
7,1111
7,1211
7,1311
7,1411
7,1511
7,1611
7,1711
7,1811
7,1911
8,100
8,200
8,300
8,400
8,500
8,600
8,700
8,800
8,900
8,1000
8,1100
8,1200
8,1300
8,1400
8,1450
8,1500
8,1600
8,1650
8,1700
8,1800
8,1850
8,1900
8,1950
8,2000
8,2050
8,2100
8,2200
8,2250
8,2300
8,2350
8,2400
8,2500
8,2600
8,2700
8,2800
8,2900
8,3000
8,3050
8,3100
8,3200
8,3250
8,3300
8,3400
8,3450
8,3500
8,3600
8,3650
8,3700
8,3800
8,3850
8,3900
8,3950
8,4000
8,4050
8,4100
8,4200
8,4300
8,4400
8,4500
8,4600
8,4700
8,4800
8,4900
8,5000
8,5100
8,5200
8,5300
8,5400
8,5500
8,5600
8,5700
8,5800
8,5900
8,5950
8,6000
8,6050
8,6100
8,6200
8,6300
8,6400
8,6500
8,6600
8,6700
8,6800
8,6900
8,7000
8,7100
8,7200
8,7300
8,7400
8,7500
8,7600
8,7700
8,7800
8,7900
8,8000
8,8100
8,8200
8,8300
8,8400
8,8500
8,8600
8,8700
8,8800
8,8900
8,9000
8,9100
8,9200
8,9300
8,9400
8,9500
8,9600
8,9700
8,9800
8,9900
8,10000
8,10100
8,10200
8,10300
8,10400
8,10500
8,10600
8,10700
8,10800
8,10900
8,11000
8,11100
8,11200
8,11300
8,11400
8,11500
8,11600
8,11700
8,11800
8,11900
8,12000
8,12100
8,12200
8,12300
8,12400
8,12500
8,12600
8,12700
8,12800
8,12900
8,13000
9,100
9,400
9,600
9,800
9,1000
9,1200
9,1400
9,1600
9,1800
9,2000
9,2200
9,2400
9,2600
9,2800
9,3000
9,3200
9,3400
9,3600
9,3800
9,4000
9,4200
9,4400
9,4600
9,4800
9,5000
9,5200
9,5400
9,5600
9,5800
9,6000
9,6200
9,6400
9,6600
9,6800
9,7000
9,7200
9,7400
9,7600
9,7800
9,8000
9,8200
9,8400
9,8600
9,8800
9,9000
9,9200
9,9400
9,9600
9,9800
9,10000
9,10200
9,10400
9,10600
9,10800
9,11000
9,11200
9,11400
9,11600
9,11800
9,12000
9,12200
9,12400
9,12600
9,12800
9,13000
9,13200
9,13400
9,13600
9,13800
9,14000
9,14200
9,14400
9,14600
9,14800
9,15000
9,15200
9,15300
9,15400
9,15500
9,15600
9,15700
9,15800
9,15900
9,16000
9,16100
9,16200
9,16300
9,16400
9,16500
10,100
10,400
10,600
10,800
10,1000
10,1200
10,1400
10,1600
10,1800
10,2000
10,2200
10,2400
10,2600
10,2800
10,3000
10,3200
10,3400
10,3600
10,3800
10,4000
10,4200
10,4400
10,4600
10,4800
10,5000
10,5200
10,5400
10,5600
10,5800
10,6000
10,6200
10,6400
10,6600
10,6800
10,7000
10,7200
10,7400
10,7600
10,7800
10,8000
10,8200
10,8400
10,8600
10,8800
10,9000
10,9200
10,9400
10,9600
10,9800
10,10000
10,10200
10,10400
10,10600
10,10800
10,11000
10,11200
10,11400
10,11600
10,11800
10,12000
10,12200
10,12400
10,12600
10,12800
10,13000
10,13200
10,13400
10,13600
10,13800
10,14000
10,14200
10,14400
10,14600
10,14800
10,15000
10,15200
10,15400
10,15600
10,15800
10,15900
10,16000
10,16100
10,16200
10,16400
10,16600
10,16800
10,16900
10,17000
10,17100
10,17150
10,17200
10,17100
10,17300
10,17400
10,17500
10,17600
10,17800
10,18000
10,18200
10,18400
10,18600
10,18800
10,19000
10,19200
10,19400
10,19600
10,19800
10,20000
10,20200
10,20400
10,20600
10,20800
10,20900
10,21100
10,21200
10,21300
10,21400
10,21500
10,21600
10,21700
10,21800
10,21900
11,700
11,1000
11,1300
11,1600
11,1900
11,2200
11,2500
11,2800
11,3100
11,3400
11,3700
11,4000
11,4300
11,4600
11,4900
11,5200
11,5500
11,5800
11,6100
11,6400
11,6700
11,7000
11,7300
11,7600
11,7900
11,8200
11,8500
11,8800
11,9100
11,9400
11,9700
11,10000
11,10300
11,10600
11,10900
11,11200
11,11500
11,11800
11,12100
11,12400
11,12700
11,13000
11,13300
11,13600
11,13900
11,14200
11,14500
11,14800
11,15100
11,15400
11,15700
11,16000
11,16300
11,16600
11,16900
11,17200
11,17500
11,17800
11,18100
11,18400
11,18700
11,19000
11,19300
11,19600
11,19900
11,20200
11,20500
11,20800
11,20900
11,21000
11,21100
11,21200
11,21300
11,21400
11,21500
11,21600
11,21700
11,21800
11,21900
11,22000
12,700
12,1000
12,1300
12,1600
12,1900
12,2200
12,2500
12,2800
12,3100
12,3400
12,3700
12,4000
12,4300
12,4600
12,4900
12,5200
12,5500
12,5800
12,6100
12,6400
12,6700
12,7000
12,7300
12,7600
12,7900
12,8200
12,8500
12,8800
12,9100
12,9400
12,9700
12,10000
12,10300
12,10600
12,10900
12,11200
12,11500
12,11800
12,12100
12,12400
12,12700
12,13000
12,13300
12,13600
12,13900
12,14200
12,14500
12,14800
12,15100
12,15400
12,15700
12,16000
12,16300
12,16600
12,16900
12,17200
12,17500
12,17800
12,18100
12,18400
12,18700
12,19000
12,19300
12,19600
12,19900
12,20200
12,20300
12,20400
12,20500
12,20600
12,20700
12,20800
12,20900
12,21100
12,21200
12,21300
12,21400
12,21500
12,21600
12,21700
12,21800
13,700
13,1000
13,1300
13,1600
13,1900
13,2200
13,2500
13,2800
13,3100
13,3400
13,3700
13,4000
13,4300
13,4600
13,4900
13,5200
13,5500
13,5800
13,6100
13,6400
13,6700
13,7000
13,7300
13,7600
13,7900
13,8000
13,8100
13,8200
13,8300
13,8500
13,8800
13,9100
13,9400
13,9700
13,10000
13,10300
13,10600
13,10900
13,11200
13,11500
13,11800
13,12100
13,12400
13,12700
13,13000
13,13300
13,13600
13,13900
13,14200
13,14500
13,14800
13,15100
13,15400
13,15700
13,16000
13,16300
13,16600
13,16900
13,17200
13,17500
13,17800
13,18100
13,18400
13,18700
13,19000
13,19300
13,19600
13,19900
13,20200
13,20300
13,20400
13,20500
13,20600
13,20700
13,20800
13,20900
13,21000
13,21100
13,21200
13,21300
13,21400
13,21500
14,500
14,600
14,700
14,800
14,900
14,1000
14,1100
14,1200
14,1300
14,1400
14,1500
14,1600
14,1700
14,1800
14,1900
14,2000
14,2100
14,2200
14,2300
14,2400
14,2500
14,2600
14,2700
14,2800
14,2900
14,3000
14,3100
14,3200
14,3300
14,3400
14,3500
14,3600
14,3700
14,3800
14,3900
14,4000
14,4100
14,4200
14,4300
14,4400
14,4500
14,4600
14,4700
14,4800
14,4900
14,5000
14,5050
14,5100
14,5150
14,5200
14,5300
14,5350
14,5400
14,5500
14,5600
14,5650
14,5700
14,5800
14,5800
14,5900
14,6000
14,6100
14,6200
14,6300
14,6400
14,6500
14,6600
14,6700
14,6800
14,6900
14,7000
14,7100
14,7200
14,7300
14,7400
14,7500
14,7600
14,7700
14,7800
14,7900
14,7950
14,8000
14,8100
14,8100
14,8200
14,8300
14,8400
14,8500
14,8600
14,8700
14,8800
14,8900
14,9000
14,9100
14,9200
14,9300
14,9400
14,9500
14,9600
14,9700
14,9800
14,9900
14,10000
14,10100
14,10200
14,10300
14,10400
14,10500
14,10600
14,10700
14,10800
14,10900
14,11000
14,11100
14,11200
14,11300
14,11400
14,11500
14,11600
14,11700
14,11800
14,11900
14,11950
14,12000
14,12100
14,12200
14,12300
14,12400
14,12500
14,12600
14,12700
14,12800
14,12900
14,13000
14,13100
14,13200
14,13300
14,13400
14,13500
14,13600
14,13700
14,13800
14,13900
14,14000
14,14200
14,14400
14,14500
14,14600
14,14800
14,14900
14,15000
14,15200
14,15400
14,15600
14,15700
14,15800
14,16000
14,16200
14,16400
14,16600
14,16700
14,16800
14,17000
14,17200
14,17400
14,17600
14,17800
14,17900
14,17950
14,18000
14,18100
14,18059
14,18200
14,18400
14,18600
14,18800
14,19000
14,19100
14,19200
14,19400
14,19600
14,19700
14,19800
14,20000
14,20100
14,20200
14,20300
14,20400
14,20500
14,20600
14,20700
14,20800
14,20900
14,21000
14,21100
14,21200
14,21300
14,21400
14,21500
15,400
15,700
15,1000
15,1200
15,1300
15,1500
15,1600
15,1700
15,1900
15,2200
15,2500
15,2800
15,3100
15,3400
15,3700
15,4000
15,4300
15,4600
15,4900
15,5200
15,5500
15,5800
15,6100
15,6400
15,6700
15,7000
15,7300
15,7600
15,7900
15,8200
15,8500
15,8800
15,9100
15,9400
15,9700
15,10000
15,10300
15,10600
15,10900
15,11200
15,11500
15,11800
15,12100
15,12400
15,12700
15,13000
15,13300
15,13600
15,13900
15,14200
15,14500
15,14800
15,15100
15,15400
15,15700
15,16000
15,16300
15,16600
15,16700
15,16900
15,17200
15,17500
15,17800
15,18100
15,18200
15,18400
15,18700
15,18800
15,19900
15,19000
15,19000
15,19300
15,19600
15,19650
15,19700
15,19800
15,19900
15,20000
15,20200
15,20250
15,20300
15,20400
15,20500
15,20600
15,20700
15,20800
15,20900
15,21000
15,21100
16,400
16,700
16,800
16,1000
16,1300
16,1600
16,1900
16,2200
16,2400
16,2500
16,2600
16,2800
16,2900
16,3100
16,3400
16,3500
16,3700
16,3900
16,4000
16,4300
16,4500
16,4600
16,4900
16,5200
16,5400
16,5500
16,5800
16,6100
16,6400
16,6700
16,7000
16,7300
16,7600
16,7900
16,8200
16,8500
16,8800
16,9100
16,9400
16,9700
16,10000
16,10300
16,10600
16,10900
16,11200
16,11500
16,11800
16,12100
16,12400
16,12700
16,13000
16,13300
16,13600
16,13900
16,14200
16,14500
16,14800
16,15100
16,15400
16,15700
16,16000
16,16300
16,16600
16,16900
16,17200
16,17500
16,17800
16,18100
16,18400
16,18700
16,19000
16,19300
16,19600
16,19900
16,20200
16,20300
16,20400
16,20500
16,20600
16,20700
16,20800
16,20900
16,21000
16,21000
17,400
17,700
17,1000
17,1300
17,1600
17,1900
17,2200
17,2500
17,2800
17,3100
17,3400
17,3700
17,4000
17,4300
17,4600
17,4900
17,5200
17,5500
17,5800
17,6100
17,6200
17,6400
17,6500
17,6600
17,6700
17,6800
17,7000
17,7300
17,7500
17,7600
17,7900
17,8200
17,8500
17,8800
17,9100
17,9400
17,9700
17,10000
17,10300
17,10600
17,10900
17,11200
17,11500
17,11800
17,11900
17,12100
17,12200
17,12250
17,12300
17,12400
17,12500
17,12600
17,12700
17,12800
17,12900
17,13000
17,13100
17,13150
17,13200
17,13300
17,13400
17,13500
17,13600
17,13700
17,13800
17,13900
17,14100
17,14200
17,14300
17,14400
17,14500
17,14800
17,14900
17,15100
17,15300
17,15400
17,15700
17,15800
17,15900
17,16000
17,16300
17,16350
17,16400
17,16600
17,16900
17,17000
17,17200
17,17500
17,17600
17,17800
17,18100
17,18400
17,18700
17,19000
17,19300
17,19600
17,19900
17,20200
17,20500
17,20800
17,20900
17,21000
18,400
18,700
18,1000
18,1300
18,1600
18,1900
18,2200
18,2500
18,2800
18,2900
18,3100
18,3400
18,3500
18,3700
18,3800
18,4000
18,4100
18,4300
18,4400
18,4600
18,4900
18,5100
18,5200
18,5500
18,5800
18,5900
18,6000
18,6000
18,6000
18,6000
18,6000
18,6000
18,6000
18,6000
18,6000
18,5800
18,6100
18,6400
18,6700
18,7000
18,7300
18,7600
18,7900
18,8200
18,8500
18,8800
18,8850
18,8900
18,9100
18,9200
18,9300
18,9400
18,9500
18,9600
18,9700
18,9800
18,9900
19,400
19,450
19,600
19,700
19,750
19,800
19,900
19,1000
19,1100
19,1200
19,1300
19,1400
19,1500
19,1600
19,1700
19,1800
19,1900
19,2000
19,2100
19,2200
19,2400
19,2600
19,2800
19,3000
19,3200
19,3400
19,3500
19,3600
19,3800
19,4000
19,4100
19,4200
19,4400
19,4500
19,4600
19,4700
19,4800
19,4900
19,5000
19,5100
19,5200
19,5300
19,5400
19,5500
19,5600
19,5700
20,50
20,100
20,150
20,200
20,250
20,300
20,320
20,350
20,360
20,400
20,440
20,450
20,500
20,530
20,550
20,600
20,640
20,650
20,700
20,730
20,750
20,800
20,850
20,900
20,930
20,950
20,980
20,1000
20,1020
20,1050
20,1100
20,1200
20,1300
20,1400
21,50
21,25
21,100
21,150
21,175
21,200
21,250
21,275
21,300
21,350
21,375
21,400
21,430
21,450
21,500
21,520
21,550
21,580
21,600
21,620
21,650
21,700
21,720
21,750
21,790
21,800
21,820
