hour,light
0,0
0,5
0,10
0,15
0,20
0,25
0,30
0,35
0,40
0,45
0,50
0,55
0,60
0,65
0,70
0,75
0,80
0,85
0,90
0,95
0,100
0,105
0,110
0,115
0,120
0,125
0,130
0,135
0,140
0,145
0,150
1,0
1,25
1,50
1,75
1,100
1,125
1,150
1,175
1,200
1,225
1,250
1,275
1,300
2,0
2,25
2,50
2,75
2,100
2,125
2,150
2,175
2,200
2,225
2,250
2,275
2,300
3,0
3,25
3,50
3,75
3,100
3,125
3,150
3,175
3,200
3,225
3,250
3,275
3,300
4,0
4,25
4,50
4,75
4,100
4,125
4,150
4,175
4,200
4,225
4,250
4,275
4,300
5,0
5,25
5,50
5,75
5,100
5,125
5,150
5,175
5,200
5,225
5,250
5,275
5,300
5,325
5,350
5,375
5,400
5,425
5,450
5,475
6,0
6,50
6,100
6,150
6,200
6,250
6,300
6,350
6,400
6,450
6,500
6,550
6,600
6,650
6,700
6,750
6,800
6,850
6,900
6,950
6,1000
7,50
7,75
7,100
7,150
7,200
7,300
7,400
7,500
7,600
7,700
7,800
7,900
7,1000
7,1100
7,1200
7,1300
7,1400
7,1500
7,1600
7,1700
7,1800
7,1900
7,2000
7,2100
7,2200
7,2300
7,2400
7,2500
7,2600
7,2700
7,2800
7,2900
7,3000
7,3100
7,3200
7,3300
7,3400
7,3500
7,3600
7,3700
7,3800
7,3900
7,4000
7,4100
7,4200
7,4300
7,4400
7,4500
7,4600
7,4700
7,4800
7,4900
7,5000
7,5100
7,5200
7,5300
7,5400
7,5500
7,5600
7,5700
7,5800
7,5900
7,6000
7,3100
7,3200
7,3300
7,3400
7,3500
7,3600
7,3700
7,3800
7,3900
7,4000
7,4100
7,4200
7,4300
7,4400
7,4500
7,4600
7,4700
7,4800
7,4900
7,5000
7,5100
7,5200
7,5300
7,5400
7,5500
7,5600
7,5700
7,5800
7,5900
7,6000
8,100
8,200
8,300
8,400
8,500
8,600
8,700
8,800
8,900
8,1000
8,1100
8,1200
8,1300
8,1400
8,1500
8,1600
8,1700
8,1800
8,1900
8,2000
8,2100
8,2200
8,2300
8,2400
8,2500
8,2600
8,2700
8,2800
8,2900
8,3000
8,3100
8,3200
8,3300
8,3400
8,3500
8,3600
8,3700
8,3800
8,3900
8,4000
8,4100
8,4200
8,4300
8,4400
8,4500
8,4600
8,4700
8,4800
8,4900
8,5000
8,5100
8,5200
8,5300
8,5400
8,5500
8,5600
8,5700
8,5800
8,5900
8,6000
8,6100
8,6200
8,6300
8,6400
8,6500
8,6600
8,6700
8,6800
8,6900
8,7000
8,7100
8,7200
8,7300
8,7400
8,7500
8,7600
8,7700
8,7800
8,7900
8,8000
8,8100
8,8200
8,8300
8,8400
8,8500
8,8600
8,8700
8,8800
8,8900
8,9000
8,9100
8,9200
8,9300
8,9400
8,9500
8,9600
8,9700
8,9800
8,9900
8,10000
8,10100
8,10200
8,10300
8,10400
8,10500
8,10600
8,10700
8,10800
8,10900
8,11000
8,11100
8,11200
8,11300
8,11400
8,11500
8,11600
8,11700
8,11800
8,11900
8,12000
9,200
9,300
9,400
9,500
9,600
9,700
9,800
9,900
9,1000
9,1100
9,1200
9,1300
9,1400
9,1500
9,1600
9,1700
9,1800
9,1900
9,2000
9,2100
9,2200
9,2300
9,2400
9,2500
9,2600
9,2700
9,2800
9,2900
9,3000
9,3100
9,3200
9,3300
9,3400
9,3500
9,3600
9,3700
9,3800
9,3900
9,4000
9,4100
9,4200
9,4300
9,4400
9,4500
9,4600
9,4700
9,4800
9,4900
9,5000
9,5100
9,5200
9,5300
9,5400
9,5500
9,5600
9,5700
9,5800
